STATUS,PHASE,,,,,NET,STA,Loc/Cha,TimeRes(s),Dist(km),Az(degrees),Time(UTC),+- (s)',,,,,,
M,Pg,0.92,,positive,143.9,ON,HUMLI,00.HHZ,-0.09,1.19,269,02:55:25.91,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.64,,,143.9,ON,HUMLI,00.HHT,-0.16,1.19,269,02:55:26.38,0.05s,,,,,07:29:59.5,04:34:33\
M,Pg,1.58,,positive,136.3,2C,THJ07,EHZ,0,1.56,337,02:55:26.09,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.94,,,136.3,2C,THJ07,EHT,-0.1,1.56,337,02:55:26.58,0.05s,,,,,07:29:59.5,04:34:32\
M,Pg,1.46,,positive,128.1,2C,JAK25,EHZ,0.01,1.85,131,02:55:26.13,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.92,,,128,2C,JAK25,EHT,-0.11,1.85,131,02:55:26.64,0.05s,,,,,07:29:59.5,04:34:32\
M,Pg,1.04,,positive,107.5,2C,SKA10,HHZ,0.03,2.86,99,02:55:26.36,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,1.02,,,107.4,2C,SKA10,HHT,-0.08,2.86,99,02:55:27.03,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.33,,positive,103.9,2C,REY09,HHZ,-0.03,2.99,184,02:55:26.32,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.82,,,103.7,2C,REY09,HHT,-0.12,2.99,184,02:55:27.02,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.56,,positive,102.1,2C,OHO23,EHZ,0,3.03,159,02:55:26.35,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.91,,,101.9,2C,OHO23,EHT,-0.11,3.03,159,02:55:27.04,0.05s,,,,,07:29:59.5,04:34:32\
M,Pg,1.58,,negative,104.8,ON,INNST,00.HHZ,0,3.03,50,02:55:26.38,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,1.01,,,104.7,ON,INNST,00.HHT,-0.08,3.03,50,02:55:27.12,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,0.9,,positive,81.8,SI,EDA,00.HHZ,0.03,3.52,349,02:55:26.45,0.0125s,,,,,07:29:59.5,04:34:33\
M,Pg,1.54,,positive,74.9,ON,SVIN,00.HHZ,0,3.78,277,02:55:26.48,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,1.18,,,74.7,ON,SVIN,00.HHT,-0.05,3.78,277,02:55:27.32,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.34,,positive,74.2,ON,LSKAR,00.HHZ,-0.03,3.99,119,02:55:26.52,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.75,,,74.1,ON,LSKAR,00.HHT,-0.14,3.99,119,02:55:27.36,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,0.6,,positive,73.1,2C,LAK24,EHZ,-0.16,4.83,189,02:55:26.55,0.0125s,,,,,07:43:34.9,04:48:08\
M,Pg,1.52,,negative,73,2C,GAN02,HHZ,0,4.91,11,02:55:26.71,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,0.75,,,72.9,2C,GAN02,HHT,-0.14,4.91,11,02:55:27.65,0.025s,,,,,07:43:34.9,04:48:07\
M,Pg,1.23,,positive,73.1,ON,HVH,00.HHZ,0.02,4.92,160,02:55:26.75,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,0.27,,,73,ON,HVH,00.HHT,-0.23,4.92,160,02:55:27.60,0.05s,,,,,07:43:34.9,04:48:07\
M,Pg,1.24,,positive,73,2C,URD20,EHZ,0.02,5,141,02:55:26.76,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,1.15,,,72.9,2C,URD20,EHT,-0.04,5,141,02:55:27.80,0.05s,,,,,07:43:34.9,04:48:07\
M,Pg,1.54,,positive,72.8,2C,VAL41,00.HHZ,-0.01,5.49,304,02:55:26.81,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,1.14,,,72.7,2C,VAL41,00.HHT,-0.05,5.49,304,02:55:27.93,0.05s,,,,,07:43:34.9,04:48:07\
M,Pg,1.46,,negative,72.7,2C,OLK26,EHZ,-0.02,5.9,77,02:55:26.91,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,0.41,,,72.6,2C,OLK26,EHT,-0.2,5.9,77,02:55:27.97,0.05s,,,,,07:43:34.9,04:48:06\
M,Pg,1.19,,negative,72.5,ON,KOLDU,00.HHZ,-0.05,6.71,50,02:55:27.04,0.025s,,,,,07:43:34.9,04:48:07\
M,Sg,0.21,,,72.4,ON,KOLDU,00.HHT,-0.25,6.71,50,02:55:28.21,0.05s,,,,,07:43:34.9,04:48:06\
M,Pg,1.28,,positive,72.4,ON,KRIST,00.HHZ,-0.04,7.07,244,02:55:27.13,0.0125s,,,,,07:43:34.9,04:48:07\
M,Pg,1.18,,negative,72.4,ON,SKEGG,00.HHZ,-0.05,7.34,31,02:55:27.16,0.025s,,,,,07:43:34.9,04:48:07\
M,Pg,0.42,,positive,72.3,2C,MEI05,HHZ,-0.19,7.79,199,02:55:27.11,0.0125s,,,,,07:43:34.9,04:48:07\
