STATUS,PHASE,,,,,NET,STA,Loc/Cha,TimeRes(s),Dist(km),Az(degrees),Time(UTC),+- (s)',,,,,,
M,Pg,1.15,,positive,142.5,ON,HUMLI,00.HHZ,-0.03,1.08,285,02:55:25.91,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.99,,,143.1,ON,HUMLI,00.HHT,-0.03,1.08,285,02:55:26.38,0.05s,,,,,07:29:59.5,04:34:33\
M,Pg,1.28,,positive,128.2,2C,THJ07,EHZ,0,1.81,343,02:55:26.09,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.97,,,129.2,2C,THJ07,EHT,-0.04,1.81,343,02:55:26.58,0.05s,,,,,07:29:59.5,04:34:32\
M,Pg,1.28,,positive,126.7,2C,JAK25,EHZ,0,1.85,120,02:55:26.13,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.79,,,127.7,2C,JAK25,EHT,-0.07,1.85,120,02:55:26.64,0.05s,,,,,07:29:59.5,04:34:32\
M,Pg,1.26,,positive,112.4,2C,REY09,HHZ,0.01,2.69,179,02:55:26.32,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,1.14,,,111.9,2C,REY09,HHT,-0.03,2.69,179,02:55:27.02,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.23,,positive,109.1,2C,OHO23,EHZ,0.01,2.88,152,02:55:26.35,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.42,,,108.2,2C,OHO23,EHT,-0.12,2.88,152,02:55:27.04,0.05s,,,,,07:29:59.5,04:34:32\
M,Pg,1.15,,positive,107.4,2C,SKA10,HHZ,0.02,3.02,92,02:55:26.36,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.86,,,106.2,2C,SKA10,HHT,-0.06,3.02,92,02:55:27.03,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.23,,negative,104.2,ON,INNST,00.HHZ,0.01,3.31,47,02:55:26.38,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,1.21,,,101.7,ON,INNST,00.HHT,-0.01,3.31,47,02:55:27.12,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.12,,positive,95,ON,SVIN,00.HHZ,0.03,3.72,282,02:55:26.48,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,1.21,,,91.3,ON,SVIN,00.HHT,0,3.72,282,02:55:27.32,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.27,,positive,96.1,SI,EDA,00.HHZ,0,3.82,350,02:55:26.45,0.0125s,,,,,07:29:59.5,04:34:33\
M,Pg,1.17,,positive,92.9,ON,LSKAR,00.HHZ,0.02,4.08,114,02:55:26.52,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,1.01,,,86.8,ON,LSKAR,00.HHT,-0.05,4.08,114,02:55:27.36,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.19,,positive,86.5,2C,LAK24,EHZ,-0.03,4.51,185,02:55:26.55,0.0125s,,,,,07:43:34.9,04:48:08\
M,Pg,0.89,,positive,83.2,ON,HVH,00.HHZ,0.05,4.79,155,02:55:26.75,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,0.09,,,74.3,ON,HVH,00.HHT,-0.21,4.79,155,02:55:27.60,0.05s,,,,,07:43:34.9,04:48:07\
M,Pg,0.9,,positive,79.9,2C,URD20,EHZ,0.05,4.99,136,02:55:26.76,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,0.68,,,70.4,2C,URD20,EHT,-0.08,4.99,136,02:55:27.80,0.05s,,,,,07:43:34.9,04:48:07\
M,Pg,1.12,,negative,77.1,2C,GAN02,HHZ,0.03,5.14,3,02:55:26.71,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,0.84,,,,2C,GAN02,HHT,-0.06,5.14,3,02:55:27.65,0.025s,,,,,07:43:34.9,04:48:07\
M,Pg,1.27,,positive,72,2C,VAL41,00.HHZ,-0.01,5.65,306,02:55:26.81,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,1.02,,,,2C,VAL41,00.HHT,0,5.65,306,02:55:27.93,0.05s,,,,,07:43:34.9,04:48:07\
M,Pg,0.82,,negative,107.1,2C,OLK26,EHZ,0.05,6.11,75,02:55:26.91,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,1.03,,,,2C,OLK26,EHT,-0.01,6.11,75,02:55:27.97,0.05s,,,,,07:43:34.9,04:48:06\
M,Pg,1.27,,positive,105.2,ON,KRIST,00.HHZ,0,6.73,245,02:55:27.13,0.0125s,,,,,07:43:34.9,04:48:07\
M,Pg,1.15,,negative,104.4,ON,KOLDU,00.HHZ,0.02,6.93,48,02:55:27.04,0.025s,,,,,07:43:34.9,04:48:07\
M,Sg,0.89,,,,ON,KOLDU,00.HHT,-0.05,6.93,48,02:55:28.21,0.05s,,,,,07:43:34.9,04:48:06\
M,Pg,1.27,,positive,102.3,2C,MEI05,HHZ,-0.01,7.39,197,02:55:27.11,0.0125s,,,,,07:43:34.9,04:48:07\
M,Sg,0.59,,,,2C,MEI05,HHT,-0.1,7.39,197,02:55:28.38,0.05s,,,,,07:43:34.9,04:48:06\
M,Pg,1.21,,negative,101.9,ON,SKEGG,00.HHZ,-0.01,7.59,29,02:55:27.16,0.025s,,,,,07:43:34.9,04:48:07\
M,Pg,0.72,,positive,58,2C,NUP27,EHZ,0.06,8.05,130,02:55:27.33,0.0125s,,,,,07:43:34.9,04:48:07\
M,Pg,1.26,,positive,55.6,2C,THU04,HHZ,0.01,9.31,137,02:55:27.51,0.0125s,,,,,07:43:34.9,04:48:07\
M,Pg,1.18,,negative,52.6,2C,KAT03,HHZ,-0.02,10.78,71,02:55:27.69,0.025s,,,,,07:43:34.9,04:48:07\
M,Sg,0.68,,,47.1,SI,KRO,00.HHT,-0.05,13.66,66,02:55:30.27,0.1s,,,,,07:43:34.9,04:48:04\
M,Pg,0,,negative,48.8,SI,KRO,00.HHZ,-0.02,13.66,66,02:55:28.16,0.025s,,,,,07:43:34.9,04:48:06\
M,Pg,1.21,,negative,48.7,2C,OLF42,00.HHZ,0,13.74,56,02:55:28.20,0.025s,,,,,07:43:34.9,04:48:06\
M,Pg,0.95,,negative,45.5,SI,HEI,00.HHZ,-0.05,18.16,22,02:55:28.86,0.025s,,,,,07:43:34.9,04:48:06\
M,Sg,0.07,,,43.9,SI,HEI,00.HHT,-0.29,18.16,22,02:55:31.47,0.1s,,,,,07:43:34.9,04:48:03\
M,Pg,0.96,,positive,43.9,SI,KAS,00.HHZ,-0.04,23.46,262,02:55:29.90,0.05s,,,,,07:43:34.9,04:48:05}
EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile
