#lon      lat      dep  mag  yy   mm dd hh mi ss    rms   gap mdist  nobs  wsum  used evscore gridID TotEventsPerGrid EventID
 -21.1883  64.0460   1.2  1.4 2018 11 24 02 51 12.5  0.040  80   3.8  40  21.2   1  0.000        -9     1 KP201811240251      
 -21.3531  64.0044   1.9  2.4 2018 11 29 05 25 41.1  0.040  47   1.0  51  34.1   1  0.000        -9     1 KP201811290525      
 -21.3552  64.0043   1.9  2.6 2018 11 29 05 26 36.2  0.040  46   1.1  61  20.4   1  0.000        -9     1 KP201811290526      
 -21.3624  64.0035   1.8  1.6 2018 11 29 05 39 06.7  0.020  47   1.3  34  21.0   1  0.000        -9     1 KP201811290539      
 -21.4192  64.0170   2.1  2.1 2018 11 30 06 40 42.1  0.030  65   0.4  55  35.4   1  0.000        -9     1 KP201811300640      
 -21.2372  64.0490   3.4  1.6 2018 12 01 11 06 59.4  0.040  60   1.8  48  30.8   1  0.000        -9     1 KP201812011106      
 -21.3793  63.9548   5.7  2.0 2018 12 04 13 44 09.8  0.030 127   2.1  61  41.0   1  0.000        -9     1 KP201812041344      
 -21.3605  63.9960   1.6  2.1 2018 12 07 23 06 56.5  0.040  51   1.9  50  23.9   1  0.000        -9     1 KP201812072306      
 -21.3974  64.0477   2.7  2.5 2018 12 08 19 23 58.3  0.020  47   0.4  65  39.1   1  0.000        -9     1 KP201812081923      
 -21.3963  64.0483   2.6  2.2 2018 12 08 19 30 39.1  0.020  39   0.3  68  42.2   1  0.000        -9     1 KP201812081930      
 -21.3975  64.0473   2.7  2.1 2018 12 08 19 32 42.4  0.020  47   0.4  67  44.2   1  0.000        -9     1 KP201812081932      
 -21.1718  64.0601   5.0  1.3 2018 12 10 01 39 10.3  0.030  93   2.1  55  34.2   1  0.000        -9     1 KP201812100139      
 -21.3955  64.0596   2.3  1.8 2018 12 10 21 41 59.1  0.020  65   0.7  63  31.8   1  0.000        -9     1 KP201812102141      
 -21.3940  64.0609   2.4  1.4 2018 12 10 21 48 56.7  0.020 118   0.5  30  18.6   1  0.000        -9     1 KP201812102148      
 -21.3965  64.0591   2.3  1.1 2018 12 10 22 09 08.7  0.020  65   0.8  45  25.1   1  0.000        -9     1 KP201812102209      
 -21.3938  64.0588   2.2  1.1 2018 12 10 22 24 29.8  0.020  74   0.7  48  25.2   1  0.000        -9     1 KP201812102224      
 -21.3810  64.0470   1.9  2.0 2018 12 22 06 51 05.5  0.020  43   0.9  68  42.8   1  0.000        -9     1 KP201812220651      
