#Stat  Phase QA  err     wgt    traveltime   Picktime                  dist     azi    evID          elon     elat      slon      slat
OL26   P      0  0.02500 1.00000    1.130 2018-11-24T02:51:13.620000Z    3.77 300.0 KP201811240251        -21.1883  64.0460  -21.2551  64.0629
KA03   P      0  0.02500 1.00000    1.150 2018-11-24T02:51:13.640000Z    3.82  16.4 KP201811240251        -21.1883  64.0460  -21.1662  64.0789
NU27   P      0  0.02500 1.00000    1.630 2018-11-24T02:51:14.120000Z    5.80 211.9 KP201811240251        -21.1883  64.0460  -21.2510  64.0018
KOLD   P      0  0.02500 1.00000    1.720 2018-11-24T02:51:14.210000Z    6.34 321.1 KP201811240251        -21.1883  64.0460  -21.2700  64.0902
UR20   P      0  0.02500 1.00000    1.780 2018-11-24T02:51:14.270000Z    6.62 240.1 KP201811240251        -21.1883  64.0460  -21.3057  64.0163
INNS   P      0  0.02500 1.00000    1.910 2018-11-24T02:51:14.400000Z    7.19 290.9 KP201811240251        -21.1883  64.0460  -21.3260  64.0689
JA25   P      1  0.05000 0.50000    1.960 2018-11-24T02:51:14.450000Z    7.60 265.4 KP201811240251        -21.1883  64.0460  -21.3433  64.0404
FA44   P      2  0.10000 0.25000    1.880 2018-11-24T02:51:14.370000Z    7.35 327.2 KP201811240251        -21.1883  64.0460  -21.2701  64.1014
KRO_   P      0  0.02500 1.00000    1.750 2018-11-24T02:51:14.240000Z    6.70  29.9 KP201811240251        -21.1883  64.0460  -21.1198  64.0981
OH23   P      1  0.05000 0.50000    2.060 2018-11-24T02:51:14.550000Z    8.13 254.2 KP201811240251        -21.1883  64.0460  -21.3483  64.0260
NESJ   P      1  0.05000 0.50000    2.050 2018-11-24T02:51:14.540000Z    8.08 343.6 KP201811240251        -21.1883  64.0460  -21.2351  64.1155
SKEG   P      2  0.10000 0.25000    2.180 2018-11-24T02:51:14.670000Z    8.76 322.0 KP201811240251        -21.1883  64.0460  -21.2988  64.1079
TH21   P      3  0.20000 0.12500    2.310 2018-11-24T02:51:14.800000Z    9.00 265.3 KP201811240251        -21.1883  64.0460  -21.3718  64.0393
LH40   P      1  0.05000 0.50000    1.920 2018-11-24T02:51:14.410000Z    7.24 109.7 KP201811240251        -21.1883  64.0460  -21.0489  64.0241
RE09   P      1  0.05000 0.50000    2.330 2018-11-24T02:51:14.820000Z    9.43 255.5 KP201811240251        -21.1883  64.0460  -21.3750  64.0247
TH07   P      1  0.05000 0.50000    2.290 2018-11-24T02:51:14.780000Z    9.87 282.1 KP201811240251        -21.1883  64.0460  -21.3861  64.0644
GA02   P      0  0.02500 1.00000    2.400 2018-11-24T02:51:14.890000Z   10.38 301.7 KP201811240251        -21.1883  64.0460  -21.3695  64.0948
GRAF   P      0  0.02500 1.00000    2.400 2018-11-24T02:51:14.890000Z    9.88 338.8 KP201811240251        -21.1883  64.0460  -21.2617  64.1286
EDA_   P      0  0.02500 1.00000    2.440 2018-11-24T02:51:14.930000Z   10.62 292.7 KP201811240251        -21.1883  64.0460  -21.3891  64.0826
LA24   P      1  0.05000 0.50000    2.440 2018-11-24T02:51:14.930000Z   10.50 246.7 KP201811240251        -21.1883  64.0460  -21.3854  64.0086
SVIN   P      1  0.05000 0.50000    2.790 2018-11-24T02:51:15.280000Z   12.83 275.2 KP201811240251        -21.1883  64.0460  -21.4500  64.0562
BJA_   P      1  0.05000 0.50000    2.800 2018-11-24T02:51:15.290000Z   12.48 206.7 KP201811240251        -21.1883  64.0460  -21.3026  63.9459
ME05   P      0  0.02500 1.00000    2.860 2018-11-24T02:51:15.350000Z   13.25 239.6 KP201811240251        -21.1883  64.0460  -21.4216  63.9856
VA41   P      1  0.05000 0.50000    2.990 2018-11-24T02:51:15.480000Z   14.17 285.3 KP201811240251        -21.1883  64.0460  -21.4685  64.0792
BL22   P      1  0.05000 0.50000    3.040 2018-11-24T02:51:15.530000Z   14.05 267.7 KP201811240251        -21.1883  64.0460  -21.4756  64.0407
LA08   P      1  0.05000 0.50000    3.240 2018-11-24T02:51:15.730000Z   15.18 252.4 KP201811240251        -21.1883  64.0460  -21.4842  64.0046
KA01   P      0  0.02500 1.00000    3.370 2018-11-24T02:51:15.860000Z   15.92 223.9 KP201811240251        -21.1883  64.0460  -21.4136  63.9430
SAN_   P      2  0.10000 0.25000    3.680 2018-11-24T02:51:16.170000Z   18.68 273.6 KP201811240251        -21.1883  64.0460  -21.5701  64.0560
SOL_   P      2  0.10000 0.25000    3.670 2018-11-24T02:51:16.160000Z   17.71 137.3 KP201811240251        -21.1883  64.0460  -20.9436  63.9290
KAS_   P      3  0.20000 0.12500    5.910 2018-11-24T02:51:18.400000Z   32.54 265.8 KP201811240251        -21.1883  64.0460  -21.8520  64.0229
OL26   S      2  0.10000 0.25000    1.840 2018-11-24T02:51:14.330000Z    3.77 300.0 KP201811240251        -21.1883  64.0460  -21.2551  64.0629
KOLD   S      2  0.10000 0.25000    2.840 2018-11-24T02:51:15.330000Z    6.34 321.1 KP201811240251        -21.1883  64.0460  -21.2700  64.0902
INNS   S      2  0.10000 0.25000    3.130 2018-11-24T02:51:15.620000Z    7.19 290.9 KP201811240251        -21.1883  64.0460  -21.3260  64.0689
JA25   S      2  0.10000 0.25000    3.280 2018-11-24T02:51:15.770000Z    7.60 265.4 KP201811240251        -21.1883  64.0460  -21.3433  64.0404
LH40   S      3  0.20000 0.12500    3.260 2018-11-24T02:51:15.750000Z    7.24 109.7 KP201811240251        -21.1883  64.0460  -21.0489  64.0241
TH07   S      3  0.20000 0.12500    3.820 2018-11-24T02:51:16.310000Z    9.87 282.1 KP201811240251        -21.1883  64.0460  -21.3861  64.0644
EDA_   S      2  0.10000 0.25000    4.000 2018-11-24T02:51:16.490000Z   10.62 292.7 KP201811240251        -21.1883  64.0460  -21.3891  64.0826
SVIN   S      2  0.10000 0.25000    4.760 2018-11-24T02:51:17.250000Z   12.83 275.2 KP201811240251        -21.1883  64.0460  -21.4500  64.0562
VA41   S      3  0.20000 0.12500    5.100 2018-11-24T02:51:17.590000Z   14.17 285.3 KP201811240251        -21.1883  64.0460  -21.4685  64.0792
BL22   S      3  0.20000 0.12500    5.230 2018-11-24T02:51:17.720000Z   14.05 267.7 KP201811240251        -21.1883  64.0460  -21.4756  64.0407
HVH_   P      0  0.02500 1.00000    0.700 2018-11-29T05:25:41.760000Z    1.05  55.7 KP201811290525        -21.3531  64.0044  -21.3354  64.0097
OH23   P      0  0.02500 1.00000    0.980 2018-11-29T05:25:42.040000Z    2.42   5.6 KP201811290525        -21.3531  64.0044  -21.3483  64.0260
UR20   P      0  0.02500 1.00000    0.980 2018-11-29T05:25:42.040000Z    2.67  60.2 KP201811290525        -21.3531  64.0044  -21.3057  64.0163
RE09   P      0  0.02500 1.00000    0.970 2018-11-29T05:25:42.030000Z    2.50 334.7 KP201811290525        -21.3531  64.0044  -21.3750  64.0247
LA24   P      0  0.02500 1.00000    0.770 2018-11-29T05:25:41.830000Z    1.65 286.5 KP201811290525        -21.3531  64.0044  -21.3854  64.0086
JA25   P      0  0.02500 1.00000    1.270 2018-11-29T05:25:42.330000Z    4.04   6.8 KP201811290525        -21.3531  64.0044  -21.3433  64.0404
TH21   P      0  0.02500 1.00000    1.270 2018-11-29T05:25:42.330000Z    4.00 346.8 KP201811290525        -21.3531  64.0044  -21.3718  64.0393
LSKA   P      0  0.02500 1.00000    1.200 2018-11-29T05:25:42.260000Z    4.20  38.5 KP201811290525        -21.3531  64.0044  -21.2996  64.0339
GR43   P      0  0.02500 1.00000    1.020 2018-11-29T05:25:42.080000Z    3.35 288.1 KP201811290525        -21.3531  64.0044  -21.4182  64.0137
ME05   P      0  0.02500 1.00000    1.160 2018-11-29T05:25:42.220000Z    3.95 238.0 KP201811290525        -21.3531  64.0044  -21.4216  63.9856
HUML   P      0  0.02500 1.00000    1.470 2018-11-29T05:25:42.530000Z    5.65 337.7 KP201811290525        -21.3531  64.0044  -21.3971  64.0513
TH04   P      0  0.02500 1.00000    1.580 2018-11-29T05:25:42.640000Z    5.51 110.6 KP201811290525        -21.3531  64.0044  -21.2477  63.9870
TH07   P      0  0.02500 1.00000    1.710 2018-11-29T05:25:42.770000Z    6.88 346.5 KP201811290525        -21.3531  64.0044  -21.3861  64.0644
INNS   P      0  0.02500 1.00000    1.810 2018-11-29T05:25:42.870000Z    7.31  10.4 KP201811290525        -21.3531  64.0044  -21.3260  64.0689
LA08   P      0  0.02500 1.00000    1.690 2018-11-29T05:25:42.750000Z    6.41 270.3 KP201811290525        -21.3531  64.0044  -21.4842  64.0046
SVIN   P      0  0.02500 1.00000    1.860 2018-11-29T05:25:42.920000Z    7.47 320.7 KP201811290525        -21.3531  64.0044  -21.4500  64.0562
BL22   P      0  0.02500 1.00000    1.880 2018-11-29T05:25:42.940000Z    7.23 304.1 KP201811290525        -21.3531  64.0044  -21.4756  64.0407
OL26   P      0  0.02500 1.00000    1.830 2018-11-29T05:25:42.890000Z    8.09  36.3 KP201811290525        -21.3531  64.0044  -21.2551  64.0629
BJA_   P      1  0.05000 0.50000    1.840 2018-11-29T05:25:42.900000Z    6.97 159.2 KP201811290525        -21.3531  64.0044  -21.3026  63.9459
KRIS   P      1  0.05000 0.50000    1.990 2018-11-29T05:25:43.050000Z    7.58 286.9 KP201811290525        -21.3531  64.0044  -21.5015  64.0241
EDA_   P      0  0.02500 1.00000    2.020 2018-11-29T05:25:43.080000Z    8.89 348.6 KP201811290525        -21.3531  64.0044  -21.3891  64.0826
KA01   P      0  0.02500 1.00000    1.830 2018-11-29T05:25:42.890000Z    7.46 203.4 KP201811290525        -21.3531  64.0044  -21.4136  63.9430
GA02   P      0  0.02500 1.00000    2.230 2018-11-29T05:25:43.290000Z   10.11 355.5 KP201811290525        -21.3531  64.0044  -21.3695  64.0948
VA41   P      0  0.02500 1.00000    2.240 2018-11-29T05:25:43.300000Z   10.07 326.0 KP201811290525        -21.3531  64.0044  -21.4685  64.0792
KOLD   P      0  0.02500 1.00000    2.240 2018-11-29T05:25:43.300000Z   10.39  23.0 KP201811290525        -21.3531  64.0044  -21.2700  64.0902
FA44   P      1  0.05000 0.50000    2.430 2018-11-29T05:25:43.490000Z   11.55  20.5 KP201811290525        -21.3531  64.0044  -21.2701  64.1014
SKEG   P      0  0.02500 1.00000    2.530 2018-11-29T05:25:43.590000Z   11.84  12.9 KP201811290525        -21.3531  64.0044  -21.2988  64.1079
KA03   P      1  0.05000 0.50000    2.540 2018-11-29T05:25:43.600000Z   12.34  47.6 KP201811290525        -21.3531  64.0044  -21.1662  64.0789
SAN_   P      1  0.05000 0.50000    2.650 2018-11-29T05:25:43.710000Z   12.07 298.6 KP201811290525        -21.3531  64.0044  -21.5701  64.0560
NESJ   P      1  0.05000 0.50000    2.760 2018-11-29T05:25:43.820000Z   13.66  24.9 KP201811290525        -21.3531  64.0044  -21.2351  64.1155
GRAF   P      1  0.05000 0.50000    2.960 2018-11-29T05:25:44.020000Z   14.55  17.8 KP201811290525        -21.3531  64.0044  -21.2617  64.1286
LH40   P      1  0.05000 0.50000    3.030 2018-11-29T05:25:44.090000Z   15.04  81.5 KP201811290525        -21.3531  64.0044  -21.0489  64.0241
KRO_   P      1  0.05000 0.50000    3.010 2018-11-29T05:25:44.070000Z   15.46  47.4 KP201811290525        -21.3531  64.0044  -21.1198  64.0981
OL42   P      1  0.05000 0.50000    3.170 2018-11-29T05:25:44.230000Z   16.23  39.6 KP201811290525        -21.3531  64.0044  -21.1406  64.1164
SOL_   P      0  0.02500 1.00000    4.190 2018-11-29T05:25:45.250000Z   21.75 112.5 KP201811290525        -21.3531  64.0044  -20.9436  63.9290
KAS_   P      1  0.05000 0.50000    4.790 2018-11-29T05:25:45.850000Z   24.49 275.1 KP201811290525        -21.3531  64.0044  -21.8520  64.0229
LA24   S      1  0.05000 0.50000    1.240 2018-11-29T05:25:42.300000Z    1.65 286.5 KP201811290525        -21.3531  64.0044  -21.3854  64.0086
TH21   S      2  0.10000 0.25000    2.150 2018-11-29T05:25:43.210000Z    4.00 346.8 KP201811290525        -21.3531  64.0044  -21.3718  64.0393
LSKA   S      2  0.10000 0.25000    2.180 2018-11-29T05:25:43.240000Z    4.20  38.5 KP201811290525        -21.3531  64.0044  -21.2996  64.0339
GR43   S      2  0.10000 0.25000    1.650 2018-11-29T05:25:42.710000Z    3.35 288.1 KP201811290525        -21.3531  64.0044  -21.4182  64.0137
HUML   S      2  0.10000 0.25000    2.460 2018-11-29T05:25:43.520000Z    5.65 337.7 KP201811290525        -21.3531  64.0044  -21.3971  64.0513
TH04   S      2  0.10000 0.25000    2.710 2018-11-29T05:25:43.770000Z    5.51 110.6 KP201811290525        -21.3531  64.0044  -21.2477  63.9870
TH07   S      2  0.10000 0.25000    2.860 2018-11-29T05:25:43.920000Z    6.88 346.5 KP201811290525        -21.3531  64.0044  -21.3861  64.0644
INNS   S      2  0.10000 0.25000    3.140 2018-11-29T05:25:44.200000Z    7.31  10.4 KP201811290525        -21.3531  64.0044  -21.3260  64.0689
LA08   S      2  0.10000 0.25000    2.810 2018-11-29T05:25:43.870000Z    6.41 270.3 KP201811290525        -21.3531  64.0044  -21.4842  64.0046
KRIS   S      2  0.10000 0.25000    3.350 2018-11-29T05:25:44.410000Z    7.58 286.9 KP201811290525        -21.3531  64.0044  -21.5015  64.0241
EDA_   S      2  0.10000 0.25000    3.360 2018-11-29T05:25:44.420000Z    8.89 348.6 KP201811290525        -21.3531  64.0044  -21.3891  64.0826
KA01   S      2  0.10000 0.25000    3.260 2018-11-29T05:25:44.320000Z    7.46 203.4 KP201811290525        -21.3531  64.0044  -21.4136  63.9430
