#lon      lat      dep  mag  yy   mm dd hh mi ss    rms   gap mdist  nobs  wsum  used evscore gridID TotEventsPerGrid EventID
 -21.1921  64.0466   1.7  1.4 2018 11 24 02 51 12.3  0.020 155   3.6  10   2.0   1  0.000        -9     1 KP201811240251      
 -21.3595  64.0051   2.2  2.4 2018 11 29 05 25 40.9  0.040  89   1.3  15   3.6   1  0.000        -9     1 KP201811290525      
 -21.3604  64.0052   2.2  2.6 2018 11 29 05 26 36.1  0.050  88   1.3  25   4.2   1  0.000        -9     1 KP201811290526      
 -21.3648  64.0040   1.9  1.6 2018 11 29 05 39 06.6  0.050 116   1.1  16   5.5   1  0.000        -9     1 KP201811290539      
 -21.4174  64.0169   2.3  2.1 2018 11 30 06 40 42.0  0.050  86   0.4  22   4.9   1  0.000        -9     1 KP201811300640      
 -21.2422  64.0509   3.7  1.6 2018 12 01 11 06 59.1  0.040 105   1.5  23   6.8   1  0.000        -9     1 KP201812011106      
 -21.3828  63.9547   5.9  2.0 2018 12 04 13 44 09.6  0.040 125   2.0  27   9.0   1  0.000        -9     1 KP201812041344      
 -21.3628  63.9962   1.9  2.1 2018 12 07 23 06 56.3  0.060  93   1.8  19   5.4   1  0.000        -9     1 KP201812072306      
 -21.3953  64.0477   2.8  2.5 2018 12 08 19 23 58.1  0.040  54   0.4  28   6.6   1  0.000        -9     1 KP201812081923      
 -21.3945  64.0485   2.7  2.2 2018 12 08 19 30 38.9  0.040  41   0.3  31   8.2   1  0.000        -9     1 KP201812081930      
 -21.3960  64.0475   2.8  2.1 2018 12 08 19 32 42.2  0.040  41   0.4  30   9.1   1  0.000        -9     1 KP201812081932      
 -21.1705  64.0645   5.6  1.3 2018 12 10 01 39 10.1  0.030  94   1.6  24   7.5   1  0.000        -9     1 KP201812100139      
 -21.3923  64.0599   2.5  1.8 2018 12 10 21 41 58.9  0.040  84   0.6  28   4.8   1  0.000        -9     1 KP201812102141      
 -21.3910  64.0612   2.5  1.4 2018 12 10 21 48 56.5  0.030 117   0.4  13   4.6   1  0.000        -9     1 KP201812102148      
