#Stat  Phase QA  err     wgt    traveltime   Picktime                  dist     azi    evID          elon     elat      slon      slat
OL26   P      2  0.10000 0.25000    1.990 2018-11-24T02:51:14.330000Z    3.57 300.6 KP201811240251        -21.1921  64.0466  -21.2551  64.0629
KOLD   P      2  0.10000 0.25000    2.990 2018-11-24T02:51:15.330000Z    6.17 322.0 KP201811240251        -21.1921  64.0466  -21.2700  64.0902
INNS   P      2  0.10000 0.25000    3.280 2018-11-24T02:51:15.620000Z    7.00 290.9 KP201811240251        -21.1921  64.0466  -21.3260  64.0689
JA25   P      2  0.10000 0.25000    3.430 2018-11-24T02:51:15.770000Z    7.42 264.7 KP201811240251        -21.1921  64.0466  -21.3433  64.0404
LH40   P      3  0.20000 0.12500    3.410 2018-11-24T02:51:15.750000Z    7.43 109.7 KP201811240251        -21.1921  64.0466  -21.0489  64.0241
TH07   P      3  0.20000 0.12500    3.970 2018-11-24T02:51:16.310000Z    9.68 281.9 KP201811240251        -21.1921  64.0466  -21.3861  64.0644
EDA_   P      2  0.10000 0.25000    4.150 2018-11-24T02:51:16.490000Z   10.42 292.7 KP201811240251        -21.1921  64.0466  -21.3891  64.0826
SVIN   P      2  0.10000 0.25000    4.910 2018-11-24T02:51:17.250000Z   12.64 275.0 KP201811240251        -21.1921  64.0466  -21.4500  64.0562
VA41   P      3  0.20000 0.12500    5.250 2018-11-24T02:51:17.590000Z   13.98 285.2 KP201811240251        -21.1921  64.0466  -21.4685  64.0792
BL22   P      3  0.20000 0.12500    5.380 2018-11-24T02:51:17.720000Z   13.87 267.4 KP201811240251        -21.1921  64.0466  -21.4756  64.0407
LA24   P      1  0.05000 0.50000    1.410 2018-11-29T05:25:42.300000Z    1.33 287.1 KP201811290525        -21.3595  64.0051  -21.3854  64.0086
TH21   P      2  0.10000 0.25000    2.320 2018-11-29T05:25:43.210000Z    3.86 351.0 KP201811290525        -21.3595  64.0051  -21.3718  64.0393
LSKA   P      2  0.10000 0.25000    2.350 2018-11-29T05:25:43.240000Z    4.35  42.3 KP201811290525        -21.3595  64.0051  -21.2996  64.0339
GR43   P      2  0.10000 0.25000    1.820 2018-11-29T05:25:42.710000Z    3.03 288.5 KP201811290525        -21.3595  64.0051  -21.4182  64.0137
HUML   P      2  0.10000 0.25000    2.630 2018-11-29T05:25:43.520000Z    5.47 340.4 KP201811290525        -21.3595  64.0051  -21.3971  64.0513
TH04   P      2  0.10000 0.25000    2.880 2018-11-29T05:25:43.770000Z    5.83 110.2 KP201811290525        -21.3595  64.0051  -21.2477  63.9870
TH07   P      2  0.10000 0.25000    3.030 2018-11-29T05:25:43.920000Z    6.74 348.9 KP201811290525        -21.3595  64.0051  -21.3861  64.0644
INNS   P      2  0.10000 0.25000    3.310 2018-11-29T05:25:44.200000Z    7.30  12.9 KP201811290525        -21.3595  64.0051  -21.3260  64.0689
LA08   P      2  0.10000 0.25000    2.980 2018-11-29T05:25:43.870000Z    6.10 269.5 KP201811290525        -21.3595  64.0051  -21.4842  64.0046
KRIS   P      2  0.10000 0.25000    3.520 2018-11-29T05:25:44.410000Z    7.26 287.0 KP201811290525        -21.3595  64.0051  -21.5015  64.0241
EDA_   P      2  0.10000 0.25000    3.530 2018-11-29T05:25:44.420000Z    8.76 350.5 KP201811290525        -21.3595  64.0051  -21.3891  64.0826
KA01   P      2  0.10000 0.25000    3.430 2018-11-29T05:25:44.320000Z    7.41 201.0 KP201811290525        -21.3595  64.0051  -21.4136  63.9430
VA41   P      3  0.20000 0.12500    4.020 2018-11-29T05:25:44.910000Z    9.83 327.2 KP201811290525        -21.3595  64.0051  -21.4685  64.0792
SOL_   P      3  0.20000 0.12500    7.430 2018-11-29T05:25:48.320000Z   22.07 112.4 KP201811290525        -21.3595  64.0051  -20.9436  63.9290
